pmcid_orig,version_orig,flesch_kincaid_orig,reading_ease_orig,word_count_orig,has_full_text_orig,pmcid_250,version_250,flesch_kincaid_250,reading_ease_250,word_count_250,has_full_text_250,pmcid,delta_flesch_kincaid,delta_reading_ease,delta_word_count
10638545,original,10.699666666666669,41.86200000000002,264,True,10638545,250,11.240905286343615,34.68655616740088,227,True,10638545,0.5412386196769461,-7.175443832599143,-37
10646917,original,13.49517385444744,31.34852897574126,371,True,10646917,250,13.520631868131868,24.588653846153846,208,True,10646917,0.025458013684428238,-6.759875129587414,-163
10684486,original,9.553333333333335,42.60000000000002,162,True,10684486,250,9.987766834170852,37.6329869346734,199,True,10684486,0.43443350083751753,-4.967013065326626,37
10702628,original,14.931326530612246,19.181887755102053,245,True,10702628,250,14.458066860465117,15.33919331395353,215,True,10702628,-0.47325967014712944,-3.8426944411485238,-30
10749179,original,12.56515748373102,37.82035227765729,461,True,10749179,250,13.387662337662338,27.068636363636386,220,True,10749179,0.8225048539313171,-10.751715914020906,-241
10750994,original,0.0,0.0,0,True,10750994,250,13.860101522842644,22.68328777821165,197,True,10750994,13.860101522842644,22.68328777821165,197
10752261,original,6.666286195286197,64.90165151515154,297,True,10752261,250,10.505833333333332,43.489166666666705,240,True,10752261,3.839547138047134,-21.412484848484837,-57
10755829,original,17.597758620689657,11.938936781609215,145,True,10755829,250,13.215400000000002,22.578700000000026,250,True,10755829,-4.382358620689654,10.639763218390812,105
10758268,original,10.430675268817204,41.82557419354842,375,True,10758268,250,9.849522591645353,40.24415601023017,204,True,10758268,-0.5811526771718505,-1.5814181833182488,-171
10761379,original,9.840050607287452,44.01284412955465,208,True,10761379,250,11.171646098348209,32.70118283652934,229,True,10761379,1.3315954910607566,-11.31166129302531,21
10761542,original,11.999148629148632,29.3525853775854,308,True,10761542,250,10.333333333333332,40.57000000000002,198,True,10761542,-1.6658152958152996,11.217414622414623,-110
